15,89,92,1
85,74,73,1
28,33,81,2
91,29,63,3
53,94,50,2
56,35,64,2
55,72,41,3
41,55,21,2
55,91,0,3
21,52,78,2
57,54,69,2
62,78,82,1
5,52,71,2
13,14,53,1
62,4,59,2
35,49,79,3
49,33,28,3
63,76,33,3
77,61,82,3
98,84,82,1
7,57,18,1
65,23,11,1
24,79,48,2
59,46,5,1
10,20,14,1
33,43,39,1
81,97,14,1
64,85,3,2
34,57,60,2
8,79,59,3
43,77,42,3
11,44,96,2
21,17,69,3
90,0,92,3
20,31,25,1
50,48,98,3
92,41,45,1
51,26,76,2
87,65,42,2
37,94,6,2
62,39,74,1
84,87,39,3
55,76,63,3
27,3,64,3
77,72,84,1
96,74,2,3
34,72,81,3
40,92,78,3
53,31,32,2
67,20,33,2
71,1,67,1
78,5,36,2
54,91,41,1
29,96,25,3
53,89,94,3
21,31,46,2
20,5,79,1
35,65,41,1
92,4,72,2
38,77,27,1
16,82,58,1
81,76,4,2
38,12,96,1
16,2,73,2
95,30,73,2
40,80,48,2
28,20,63,1
79,0,35,2
78,24,50,1
26,53,74,1
36,2,43,2
15,92,25,2
92,37,91,3
73,36,68,2
87,13,86,2
42,57,90,1
36,31,69,3
35,41,25,1
37,44,26,3
39,93,42,2
34,36,50,1
28,58,42,2
47,69,60,1
42,73,32,2
11,93,61,2
14,53,40,2
70,97,89,3
93,36,77,3
2,54,86,3
2,98,8,3
91,77,54,3
8,94,54,2
27,20,60,1
13,58,82,2
57,89,5,2
46,82,81,2
16,73,66,2
72,55,90,2
50,96,2,1
9,72,4,2
48,93,61,2
10,41,9,3
60,0,49,2
14,79,66,3
21,88,42,2
42,21,52,3
61,80,81,2
56,21,90,2
21,83,69,1
57,58,96,2
49,14,71,1
33,64,6,3
52,89,73,3
27,84,28,1
74,10,26,2
82,20,37,1
87,63,95,1
72,59,35,3
84,15,28,1
95,99,43,2
79,20,49,2
4,31,9,2
11,54,72,1
62,89,0,2
24,92,44,2
98,18,25,2
87,91,47,3
51,8,79,2
59,41,99,3
26,43,89,2
38,92,60,3
42,17,24,3
78,69,25,2
14,47,63,1
43,6,50,2
34,82,10,2
43,1,19,1
58,97,52,3
16,12,14,3
25,41,70,3
20,73,85,2
93,45,34,1
1,47,53,2
71,49,57,3
30,31,76,1
68,65,91,1
93,47,46,1
95,97,82,3
5,61,48,1
82,85,14,3
81,88,89,2
52,28,2,3
20,24,98,3
23,60,53,1
94,64,3,2
78,43,28,3
92,91,34,3
17,44,96,3
94,9,90,1
19,24,12,3
9,70,73,1
53,22,58,1
10,82,88,2
74,19,60,2
52,79,35,2
53,55,77,1
83,0,24,1
96,80,92,2
69,93,90,1
34,78,97,1
45,21,7,1
44,77,83,3
20,14,95,2
93,25,66,1
92,13,72,2
11,2,48,3
75,47,60,2
20,56,53,2
85,91,35,3
61,60,86,2
22,86,61,3
99,94,9,1
80,51,78,3
56,59,22,1
96,8,57,2
26,16,29,2
91,78,30,3
45,21,83,2
74,70,30,2
74,79,85,3
31,80,65,3
37,5,76,3
38,16,4,2
68,10,16,3
23,49,73,3
82,51,75,3
26,47,19,1
1,71,97,2
8,31,56,3
29,2,50,2
93,57,27,2
52,56,80,3
38,94,1,2
61,7,20,2
79,87,5,3
34,80,82,1
32,2,95,2
46,23,3,1
96,50,51,1
66,67,37,3
55,74,69,2
11,24,50,2
94,82,70,2
98,3,73,3
37,35,21,3
36,9,55,3
93,64,68,3
88,79,19,2
80,30,66,1
22,13,66,3
92,93,27,2
23,45,64,3
52,47,18,1
30,79,88,2
50,86,32,3
63,46,7,2
43,13,50,3
51,41,25,1
28,30,83,1
38,98,19,2
30,66,56,1
47,63,0,3
81,61,91,3
14,93,17,2
27,15,50,2
50,0,74,1
75,56,49,3
48,43,41,2
33,21,94,1
20,32,5,1
25,20,39,1
74,64,79,2
61,44,72,2
43,32,48,1
36,25,44,3
35,95,37,1
9,59,23,3
26,13,58,2
66,4,55,3
15,78,3,2
19,2,18,3
90,45,3,3
46,88,66,1
63,73,41,1
15,21,50,2
91,58,98,2
80,21,19,2
66,90,2,2
16,80,92,3
28,63,33,3
8,67,38,1
66,22,35,2
2,6,63,2
11,10,86,1
70,34,35,3
92,57,61,3
23,52,53,2
78,99,8,1
89,8,12,3
96,90,43,1
92,1,12,2
28,67,84,1
9,26,22,3
22,37,70,1
54,20,28,3
50,22,74,1
61,24,86,3
94,37,34,1
58,35,25,2
93,35,91,2
83,73,89,3
80,95,76,2
98,69,42,3
66,20,48,3
33,87,65,1
91,92,13,3
22,20,78,3
43,14,3,1
24,44,50,2
74,4,31,2
29,41,24,3
73,69,46,3
85,62,53,1
44,54,5,2
77,84,62,1
96,90,55,2
79,16,91,2
71,64,13,3
83,23,62,3
14,99,30,3
6,10,55,2
27,57,46,2
47,2,79,2
16,35,72,3
60,85,87,3
83,93,33,2
8,61,73,1
57,3,59,2
54,72,15,1
18,89,62,1
4,82,54,2
68,85,70,2
31,59,97,1
60,48,77,2
71,46,86,3
99,87,4,2
79,16,57,3
84,22,19,1
94,92,52,1
84,46,35,1
75,36,29,1
3,35,91,3
70,62,87,1
74,54,41,3
77,57,49,2
79,13,67,3
26,92,51,2
91,57,84,2
53,3,10,1
31,77,5,1
78,45,67,2
76,39,97,3
78,26,24,3
9,1,84,2
58,5,71,1
33,43,30,1
4,59,35,2
49,31,50,2
91,73,27,3
3,63,71,2
55,15,16,3
26,96,99,2
10,66,5,1
82,90,85,3
11,74,88,1
75,25,42,1
9,26,31,3
56,10,59,3
26,32,16,3
60,61,44,2
36,94,5,2
31,60,25,3
54,42,71,3
7,59,56,3
73,50,49,3
43,15,11,3
45,21,12,3
77,14,63,2
63,88,8,2
52,79,32,1
89,15,66,2
66,39,29,2
32,42,14,3
93,73,38,1
38,71,1,1
67,42,37,1
45,9,5,3
6,0,84,1
10,40,64,1
69,5,13,1
30,21,99,2
92,6,59,2
29,62,56,3
85,66,40,3
