[58, 49, 83, 60, 97, 20, 42, 31, 29, 98, 1]
[44, 94, 60, 41, 10, 84, 80, 28, 52, 98, 2]
[1, 55, 80, 58, 32, 68, 79, 62, 6, 27, 1]
[46, 78, 48, 6, 29, 12, 42, 99, 18, 69, 2]
[1, 42, 37, 63, 17, 79, 18, 65, 64, 60, 3]
[45, 19, 54, 62, 13, 30, 83, 5, 96, 15, 3]
[39, 9, 77, 90, 82, 33, 3, 97, 76, 40, 1]
[18, 8, 30, 81, 80, 69, 86, 24, 74, 82, 1]
[11, 72, 76, 18, 13, 17, 25, 26, 49, 1, 2]
[39, 54, 78, 24, 33, 41, 87, 6, 74, 30, 1]
[68, 40, 19, 61, 41, 86, 27, 43, 73, 83, 2]
[43, 13, 90, 29, 84, 26, 40, 24, 59, 30, 2]
[66, 44, 33, 79, 36, 59, 38, 49, 92, 64, 3]
[2, 68, 31, 38, 79, 37, 72, 97, 69, 94, 1]
[81, 15, 51, 82, 17, 96, 46, 49, 29, 59, 3]
[37, 13, 57, 88, 69, 6, 5, 22, 7, 36, 1]
[70, 3, 65, 10, 31, 27, 26, 87, 54, 40, 3]
[74, 73, 67, 7, 15, 81, 45, 1, 98, 58, 1]
[71, 52, 35, 62, 54, 88, 86, 83, 56, 85, 1]
[67, 66, 64, 84, 44, 85, 63, 2, 57, 48, 2]
[68, 65, 23, 11, 85, 59, 93, 54, 92, 99, 3]
[68, 56, 71, 54, 69, 94, 23, 91, 45, 90, 2]
[65, 0, 48, 10, 47, 94, 29, 39, 56, 55, 1]
[47, 73, 55, 34, 10, 24, 78, 84, 71, 68, 3]
[72, 48, 65, 63, 20, 12, 43, 40, 93, 81, 2]
[93, 35, 86, 37, 52, 50, 92, 16, 75, 91, 2]
[69, 36, 34, 92, 11, 13, 26, 10, 40, 39, 2]
[92, 60, 71, 6, 98, 84, 17, 31, 52, 0, 1]
[23, 20, 39, 49, 66, 72, 81, 70, 75, 95, 1]
[37, 9, 82, 83, 77, 2, 35, 87, 33, 49, 3]
[53, 85, 4, 73, 75, 0, 50, 48, 56, 97, 2]
[76, 53, 35, 77, 21, 41, 23, 63, 40, 51, 1]
[43, 38, 65, 79, 75, 24, 19, 83, 82, 81, 3]
[84, 22, 91, 99, 18, 3, 30, 92, 57, 38, 2]
[36, 48, 95, 89, 65, 87, 13, 6, 8, 34, 2]
[5, 33, 97, 25, 3, 96, 22, 19, 24, 82, 1]
[28, 98, 30, 63, 9, 91, 39, 94, 72, 95, 1]
[83, 66, 63, 88, 99, 13, 6, 28, 26, 39, 1]
[6, 58, 99, 37, 86, 85, 43, 42, 48, 34, 2]
[41, 95, 49, 0, 84, 51, 36, 17, 65, 44, 1]
[37, 53, 30, 52, 10, 77, 51, 63, 75, 29, 1]
[98, 99, 88, 49, 80, 62, 9, 74, 17, 22, 3]
[28, 42, 64, 50, 44, 65, 54, 14, 16, 79, 1]
[50, 45, 13, 0, 29, 53, 73, 19, 76, 56, 3]
[25, 37, 49, 82, 18, 78, 0, 7, 59, 75, 2]
[13, 12, 67, 40, 11, 57, 88, 64, 77, 23, 3]
[61, 84, 39, 54, 4, 76, 50, 51, 58, 81, 1]
[58, 88, 0, 80, 23, 36, 77, 61, 19, 15, 3]
[47, 39, 76, 31, 95, 29, 19, 80, 82, 13, 3]
[82, 25, 27, 21, 71, 15, 75, 9, 90, 57, 3]
[67, 78, 16, 80, 5, 2, 15, 57, 30, 96, 2]
[11, 14, 92, 79, 77, 55, 37, 26, 94, 85, 2]
